pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
10,0,experimental,2020-09-17 16:01:08.997503,2020-09-17 16:05:18.827163,2020-09-17 16:10:05.426775,8.7,1,College degree,Yes,27,male,"The strategy was very obvious, I don't feel as though there was any choice other than the root to select one of the unobserved nodes so it didn't really pertain past the root. ",Click all the buttons on the root and then proceed into an unobserved node in level 2 and then 3. ,,0,4,"[1, 1, 3, 3, 3, 3, 3, 3, 3, 3]","[23, 23, -27, -51, 45, 45, 45, 45, 21, 45]",214.0,21.4,"[27, 17, -23, -63, 45, 35, 47, 39, 33, 39]",0.85,"[0.25, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[3.0, 3.0, 0, 0, 0, 0, 0, 0, 0, 0]"
11,0,experimental,2020-09-17 16:00:55.661748,2020-09-17 16:06:55.182157,2020-09-17 16:10:09.788025,9.1,1,College degree,No,-,-,-,-,na,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[21, -27, 45, 21, 21, -51, 45, 21, 45, 45]",186.0,18.6,"[27, -37, 45, 13, 21, -51, 39, 13, 35, 45]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,0,experimental,2020-09-17 16:02:48.056745,2020-09-17 16:07:56.207375,2020-09-17 16:16:11.182552,13.1,1,College degree,No,27,female,I understood the basics,STart at the bottom.  ,The strategy was not explained as clealry as possible,0,4,"[8, 6, 3, 7, 6, 5, 5, 5, 6, 5]","[18, -46, 45, 41, 30, 45, 45, 41, 28, 47]",294.0,29.4,"[16, -44, 33, 41, 30, 41, 41, 37, 28, 43]",0.6325,"[0.444, 0.571, 1.0, 0.5, 0.571, 0.667, 0.667, 0.667, 0.571, 0.667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
13,0,experimental,2020-09-17 16:03:36.12113,2020-09-17 16:10:25.749712,2020-09-17 16:15:58.203372,11.9,2,College degree,No,-,-,-,-,"The part where I was supposed to write my other feedback didn't work, it moved me to the end of the page. So I wasn't able to write anything there",0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[45, -51, 21, 45, 45, 45, 21, 45, 45, -27]",234.0,23.4,"[39, -53, 25, 33, 35, 45, 17, -51, 45, -25]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
14,0,experimental,2020-09-17 16:05:03.183179,2020-09-17 16:10:57.954306,2020-09-17 16:14:42.607078,9.3,1,College degree,No,-,-,-,-,When I was answering the questions with the text answers it jumped to the next page when I started typing. I'm not sure why. I apologize for the incomplete answers on that page.,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[45, 45, 21, 45, 45, 21, 45, 21, 21, -51]",258.0,25.8,"[45, 51, 33, 41, 43, 15, 47, 29, 23, -63]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
15,0,experimental,2020-09-17 16:04:26.240461,2020-09-17 16:11:13.306164,2020-09-17 16:14:23.017327,8.2,1,College degree,No,-,-,-,-,,0,4,"[6, 6, 12, 6, 6, 3, 5, 6, 6, 6]","[38, 38, -60, 16, 40, 21, 55, 32, 36, -34]",182.0,18.2,"[22, 42, -60, -24, 40, 27, 55, 32, 36, -34]",0.5591,"[0.571, 0.571, 0.308, 0.571, 0.571, 1.0, 0.286, 0.571, 0.571, 0.571]","[0, 0, 0, 0, 0, 0, 2.0, 0, 0, 0]"
16,0,experimental,2020-09-17 16:02:39.960006,2020-09-17 16:11:32.640927,2020-09-17 16:14:30.700177,11.6,4,College degree,Yes,35,female,Yes it was pretty simple,Follow whatever the flow chat says to figure out the best path up the tree,,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[21, 21, -51, 21, -27, 21, -27, 21, 21, 45]",66.0,6.6,"[9, 27, -63, 23, -17, 33, -37, 19, 27, 47]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
17,0,experimental,2020-09-17 16:05:16.970777,2020-09-17 16:12:13.980796,2020-09-17 16:17:58.588892,12.4,1,College degree,Yes,40,male,I think so.,The root layer always has the highest win or loss amount so clicking on those nodes allows you to maximize what you get in the first move.,,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[21, 45, 45, 21, 21, 21, 45, 21, 21, 45]",306.0,30.6,"[9, 33, 37, 15, 27, 25, 35, 29, 13, 45]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
18,0,experimental,2020-09-17 16:02:04.733191,2020-09-17 16:12:52.160314,2020-09-17 16:19:53.937325,11.4,1,High school graduate,No,38,female,"It took me a couple tries to understand how the flow chart worked, but after a few times it was easy to understand","You should click on all three of the root values and once you see which one is the highest number, click on the last two branches of that root to determine the best direction to take your monkey",,0,4,"[9, 3, 5, 6, 5, 5, 3, 5, 3, 5]","[1, 21, 47, -22, 41, 23, 41, 47, 21, 41]",261.0,26.1,"[-23, 29, 45, -20, 37, 15, 45, 43, 9, 33]",0.6073,"[0.0, 1.0, 0.667, 0.571, 0.667, 0.667, 0.167, 0.667, 1.0, 0.667]","[4.0, 0, 0, 0, 0, 0, 3.0, 0, 0, 0]"
19,0,experimental,2020-09-17 15:59:54.85369,2020-09-17 16:05:46.736362,2020-09-17 16:11:35.318652,11.4,1,High school graduate,No,35,Female,"I believe it was to look at the roots, and pick the own that had the highest positive number to get the best outcome.",The flowchart allows me to look at the base of the tree in order to pick which tree to go up.,,0,4,"[12, 12, 6, 5, 3, 9, 3, 3, 6, 6]","[30, -40, 42, 41, 21, 41, 21, 21, -46, -46]",85.0,8.5,"[30, -40, 36, 49, 33, 41, 9, 29, -44, -50]",0.6396,"[0.308, 0.308, 0.571, 0.667, 1.0, 0.4, 1.0, 1.0, 0.571, 0.571]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
20,0,experimental,2020-09-17 15:45:21.554733,2020-09-17 15:53:13.343037,2020-09-17 16:02:32.596014,17.0,1,College degree,No,61,Male,Somewhat,Click on the root unobserved nodes. Followthw node that gives yoy initially the highest reward. On the route you are taking reveal the last tow nodes to decide the final landing,,0,4,"[3, 8, 8, 9, 8, 8, 8, 8, 8, 7]","[45, 46, 46, 33, 50, 12, 14, 18, 12, 17]",293.0,29.3,"[45, 46, 46, 33, 50, 12, 14, 18, 12, 17]",0.5008,"[1.0, 0.444, 0.444, 0.4, 0.444, 0.444, 0.444, 0.444, 0.444, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
21,0,experimental,2020-09-17 15:45:27.014321,2020-09-17 15:51:15.851588,2020-09-17 15:57:15.974267,11.6,1,College degree,No,47,female,Yes - to only click on the lowest nodes at the base of the tree.,Click at the 3 nodes at the bottom of the tree that lead to the other branching nodes to reveal how much money the monkey gets from them.  Choose the one that will get you the most money.  Don't click on the other nodes because clicking on nodes makes you lose money.  Use your best guess to go through the rest of the tree. ,,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[45, 45, 45, 45, 21, 45, 21, 21, 21, 21]",330.0,33.0,"[47, 45, 43, 37, 13, 33, 15, 33, 9, 27]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
22,0,experimental,2020-09-17 15:44:07.663791,2020-09-17 15:50:05.223452,2020-09-17 15:55:01.111644,10.5,1,High school graduate,No,39,male,nope,nonsensical,,0,4,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[6, -48, 34, 6, 20, 36, 10, 34, 36, 30]",164.0,16.4,"[6, -48, 34, 6, 20, 36, -26, 34, 36, 30]",0.308,"[0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
23,0,experimental,2020-09-17 15:39:23.929977,2020-09-17 15:45:25.146313,2020-09-17 15:49:30.733864,9.7,2,College degree,No,40,female,Yes it was to find the highest value to earn,Click on the nodes to find the highest value that you can earn,,0,3,"[12, 12, 12, 12, 12, 12, 9, 12, 8, 6]","[8, 36, 38, 36, 8, 34, 33, 36, -30, 32]",231.0,23.1,"[8, 36, 24, -54, 8, 34, 23, 36, -30, 32]",0.3571,"[0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.4, 0.308, 0.444, 0.571]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
24,0,experimental,2020-09-17 15:52:47.672537,2020-09-17 15:58:42.852343,2020-09-17 16:02:14.589105,4.8,1,College degree,Yes,53,male,"Somewhat, even though the wording changed from the practice rounds to the actual trial","reveal the nodes that could be your first move, then start moving. ","none, thanks for asking",4,3,"[0, 0, 0, 0, 3, 3, 4, 3, 1, 3]","[0, 0, 0, 0, 21, 21, -52, 21, 47, 45]",103.0,10.3,"[48, 32, 36, 42, 21, 27, -58, 23, 47, 47]",0.505,"[0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.8, 1.0, 0.25, 1.0]","[4.0, 4.0, 4.0, 4.0, 0, 0, 0, 0, 3.0, 0]"
25,0,experimental,2020-09-17 16:48:28.423477,2020-09-17 16:58:27.176382,2020-09-17 17:02:58.046538,14.1,1,College degree,No,29,Female,I am not sure,Click on the unobserved roots,,0,3,"[5, 3, 5, 6, 3, 3, 3, 3, 3, 3]","[-11, 45, 51, 22, 45, 21, 21, -51, 45, 21]",209.0,20.9,"[-35, 35, 53, 18, 45, 23, 9, -47, 47, 13]",0.8238,"[0.0, 1.0, 0.667, 0.571, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[4.0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
26,0,experimental,2020-09-17 15:30:13.691407,2020-09-17 15:32:33.397729,2020-09-17 15:35:20.070226,5.0,1,College degree,No,21,Male,Yes,"You are trying to get a good starting position, so you know your first choice and then guess from there.",,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[45, 45, -27, 45, 45, 45, 45, 21, 45, 45]",354.0,35.4,"[39, 33, -17, 45, 39, 37, 47, 11, 35, 37]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
27,0,experimental,2020-09-17 15:31:54.384203,2020-09-17 15:35:37.359591,2020-09-17 15:38:32.977468,6.5,1,High school graduate,No,24,Male,Yes,Only click the bottom layer of nodes and go to the best of those options,,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[21, 45, 21, -51, 21, 45, 21, 45, -51, 21]",138.0,13.8,"[9, 45, 25, -55, 21, 35, 27, 45, -41, 17]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
28,0,experimental,2020-09-17 15:38:03.446726,2020-09-17 15:42:50.309489,2020-09-17 15:46:25.848038,8.0,1,College degree,No,32,male,Yes,Click on the nodes so you can see what the value is,,0,3,"[10, 8, 9, 8, 5, 5, 5, 8, 6, 5]","[38, 16, 23, 30, 23, 41, 41, 50, 30, 17]",309.0,30.9,"[38, 16, 23, 30, 27, 37, 37, 50, 30, 13]",0.5335,"[0.364, 0.444, 0.4, 0.444, 0.667, 0.667, 0.667, 0.444, 0.571, 0.667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
29,0,experimental,2020-09-17 15:31:31.699504,2020-09-17 15:37:27.802649,2020-09-17 15:42:13.374402,10.5,1,College degree,No,33,Male,"Somewhat. I get clicking on the root node to see which path to take, but it seems reasonable to also click on the level 3 nodes to decide the final path. However, the flowchart seemed to indicate that the last node should not be clicked on.","The strategy conveyed is that you should click on the base/root node and make your decision based on that initial decision. If it's not a level 1 node, don't click on it.",This was a fun game to play,0,4,"[5, 5, 5, 5, 6, 5, 3, 5, 7, 3]","[45, 23, 23, 41, 46, 17, 45, 47, 19, 21]",327.0,32.7,"[41, 31, 15, 49, 38, 21, 55, 43, 11, 33]",0.7073,"[0.667, 0.667, 0.667, 0.667, 0.571, 0.667, 1.0, 0.667, 0.5, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
30,0,experimental,2020-09-17 15:33:58.82853,2020-09-17 15:39:49.290108,2020-09-17 15:43:21.031403,9.1,1,College degree,No,45,Female,Yes,"Observing the chart on the right, then previewing the lowest level node  even though it takes away $1 it will benefit up the tree.",,0,4,"[1, 1, 3, 3, 2, 3, 2, 3, 3, 3]","[23, 47, 21, 21, 46, 45, 46, 21, 21, 21]",312.0,31.2,"[31, 49, 19, 33, 48, 45, 34, 27, 29, 19]",0.75,"[0.25, 0.25, 1.0, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0]","[3.0, 3.0, 0, 0, 2.0, 0, 2.0, 0, 0, 0]"
31,0,experimental,2020-09-17 15:35:51.103907,2020-09-17 15:41:20.588197,2020-09-17 15:45:43.111701,9.7,1,High school graduate,No,40,female,yes,go with the highest number,,0,4,"[8, 7, 6, 10, 12, 6, 5, 5, 5, 5]","[50, 29, 48, -46, 30, 40, 41, 41, 45, 23]",301.0,30.1,"[50, 29, 48, -46, 30, 40, 37, 45, 41, 27]",0.5426,"[0.444, 0.5, 0.571, 0.364, 0.308, 0.571, 0.667, 0.667, 0.667, 0.667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
32,0,experimental,2020-09-17 15:30:36.915211,2020-09-17 15:41:49.635371,2020-09-17 15:45:56.647588,15.0,1,High school graduate,No,56,male, a little but mainly no,use the node finder liberally,,0,4,"[1, 1, 1, 3, 1, 1, 1, 1, 2, 6]","[47, -1, 23, 21, 23, 23, 23, 47, 22, -46]",182.0,18.2,"[49, -39, 13, 17, 11, 29, 19, 43, 14, -44]",0.3821,"[0.25, 0.25, 0.25, 1.0, 0.25, 0.25, 0.25, 0.25, 0.5, 0.571]","[3.0, 3.0, 3.0, 0, 3.0, 3.0, 3.0, 3.0, 2.0, 0]"
33,0,experimental,2020-09-17 15:37:04.263102,2020-09-17 15:41:55.426407,2020-09-17 15:46:00.80038,8.7,1,College degree,No,26,male,Yes.,Simply click on every circle before moving the monkey.,none,0,4,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[42, -34, 42, 36, 36, 30, 38, 36, -26, 24]",224.0,22.4,"[42, -34, 42, 36, 36, 30, 38, 36, -26, 24]",0.308,"[0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
34,0,experimental,2020-09-17 15:36:18.895784,2020-09-17 15:42:21.163872,2020-09-17 15:47:34.35322,11.0,1,College degree,No,32,Female,"Yes, I just had to click on the unobserved options to see which path is the best.","It was simple and easy to understand, just click on the unobserved nodes.",,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[21, 45, 45, 21, 21, 45, 45, -51, 45, 45]",282.0,28.2,"[19, 35, 39, 15, 29, 47, 37, -53, 39, 37]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
35,0,experimental,2020-09-17 15:32:49.98046,2020-09-17 15:42:22.640079,2020-09-17 15:47:58.747395,14.7,1,College degree,Yes,38,Male,Yes it was wanting me to click on the root to find out which had the highest value and go with it.,If you want the highest amount of money follow the strategy and make sure that you find the highest value on the root then follow it up just like the flowchart says.,,0,4,"[3, 3, 7, 4, 4, 3, 5, 3, 3, 5]","[45, -27, 45, 24, 48, 21, 39, 45, 45, 11]",296.0,29.6,"[35, -37, 41, 16, 44, 23, 43, 47, 39, 9]",0.8434,"[1.0, 1.0, 0.5, 0.8, 0.8, 1.0, 0.667, 1.0, 1.0, 0.667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
36,0,experimental,2020-09-17 15:39:05.903307,2020-09-17 15:43:22.763095,2020-09-17 15:47:18.770553,7.9,1,High school graduate,Yes,23,Male,Yes,Start with the bottom nodes and then check the rest of the nodes in whichever tree makes you the most/loses you the least in the first couple nodes.,,0,4,"[7, 8, 7, 6, 12, 6, 6, 7, 10, 8]","[41, 50, 23, 26, -40, 16, 36, 39, 32, 10]",233.0,23.3,"[41, 50, 23, 26, -40, 16, 36, 39, 32, 10]",0.4773,"[0.5, 0.444, 0.5, 0.571, 0.308, 0.571, 0.571, 0.5, 0.364, 0.444]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
37,0,experimental,2020-09-17 15:36:35.902094,2020-09-17 15:44:29.267779,2020-09-17 15:49:59.028044,12.5,1,College degree,No,65,female,somewhat,I tried to loose less  money,,0,4,"[5, 3, 3, 11, 6, 10, 6, 6, 6, 6]","[43, 49, 43, -33, 20, 38, 14, 24, 12, 36]",246.0,24.6,"[41, 45, 43, -33, 20, 38, 14, 24, 12, 36]",0.4553,"[0.667, 0.167, 0.167, 0.333, 0.571, 0.364, 0.571, 0.571, 0.571, 0.571]","[0, 3.0, 3.0, 0, 0, 0, 0, 0, 0, 0]"
38,0,experimental,2020-09-17 15:38:19.865288,2020-09-17 15:44:35.560418,2020-09-17 15:48:26.879289,9.9,1,High school graduate,No,36,female,"I think so, at least after a few trials.","If it's in the first row, then you're probably going to click it.",,0,4,"[6, 9, 12, 9, 3, 3, 3, 3, 3, 3]","[30, 33, -26, 9, 21, 45, 45, 21, 45, 21]",244.0,24.4,"[30, 33, -26, 9, 33, 33, 51, 33, 45, 9]",0.7679,"[0.571, 0.4, 0.308, 0.4, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
39,0,experimental,2020-09-17 15:35:00.064433,2020-09-17 15:44:44.370239,2020-09-17 15:48:06.976765,13.0,2,High school graduate,No,-,-,-,-,"No, but thank you and stay safe!",0,4,"[3, 6, 9, 6, 5, 5, 5, 5, 5, 5]","[21, 26, 45, 48, 41, 17, 21, 47, 41, 45]",352.0,35.2,"[9, 26, 45, 48, 33, 21, 17, 43, 45, 41]",0.6544,"[1.0, 0.571, 0.4, 0.571, 0.667, 0.667, 0.667, 0.667, 0.667, 0.667]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
40,0,experimental,2020-09-17 15:39:44.486516,2020-09-17 15:45:43.030416,2020-09-17 15:49:38.455724,9.6,1,College degree,Yes,23,Male,"Yes, the strategy was pretty clear.",Click the the first node along each of the paths and follow the one with the highest positive number.,,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[-51, 45, 45, 21, 21, 21, 45, 21, 45, -51]",162.0,16.2,"[-47, 35, 35, 21, 17, 17, 47, 25, 39, -63]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
41,0,experimental,2020-09-17 15:39:52.318373,2020-09-17 15:49:04.342377,2020-09-17 15:55:24.585068,15.2,1,College degree,No,63,male,"Yes, I think so.",If the level two node is unobserved click it to identify the value before proceeding.,no,0,4,"[10, 9, 9, 10, 9, 7, 7, 7, 3, 6]","[48, 27, 39, -38, 45, 47, 43, 53, 21, 36]",321.0,32.1,"[48, 27, 39, -38, 45, 47, 43, 53, 15, 36]",0.4999,"[0.364, 0.4, 0.4, 0.364, 0.4, 0.5, 0.5, 0.5, 1.0, 0.571]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
42,0,experimental,2020-09-17 16:06:52.780763,2020-09-17 16:13:53.865707,2020-09-17 16:19:30.158017,12.3,1,College degree,No,35,female,"Only barely, it just occurred to me that I was only clicking on the nodes in the second level and didn't realize I could probably reveal all the unobserved nodes, even in the third.  ",Click on all the nodes until they are all revealed before moving the monkey along a path that gives you the most reward.  ,"No, thank you.",0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[21, 21, 21, 21, 45, 21, -27, 45, -51, 45]",162.0,16.2,"[23, 15, 9, 27, 37, 15, -17, 39, -45, 39]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
