pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
141,1,actionfeedback,2020-09-30 22:45:04.725984,2020-09-30 22:48:21.527558,2020-09-30 22:52:35.032306,7.4,0,College degree,No,23,female,-,-,,0,4,"[5, 10, 9, 7, 12, 11, 9, 9, 6, 6]","[5, -5, 6, 8, 8, 4, 1, -9, 4, 9]",31.0,3.1,"[-10, -5, 1, 3, 8, -6, 11, -19, -11, 19]",0.208,"[0.167, 0.091, 0.3, 0.0, 0.231, 0.417, 0.087, 0.2, 0.143, 0.444]","[0, 0, 0, 4.517, 0, 0, 2.505, 0, 0, 3.0]"
142,1,actionfeedback,2020-09-30 22:42:23.809734,2020-09-30 22:50:50.976049,2020-09-30 22:55:15.711963,12.5,0,High school graduate,No,33,female,-,-,,0,4,"[1, 1, 3, 2, 3, 1, 1, 3, 3, 1]","[9, 9, 2, 8, -3, 9, 4, 2, 7, 4]",51.0,5.1,"[19, 19, -3, 18, -13, 9, -11, -8, 7, -16]",0.2791,"[0.5, 0.5, 0.0, 0.4, 0.137, 0.25, 0.154, 0.6, 0.25, 0.0]","[0, 0, 4.979, 3.0, 4.305, 3.0, 5.499, 2.0, 0, 5.241]"
143,1,actionfeedback,2020-09-30 22:41:01.127092,2020-09-30 22:53:45.001161,2020-09-30 23:04:39.907254,23.1,0,College degree,No,47,male,-,-,"It was very difficult for me to figure out the best strategy to win the most points.  Also, I don't know if it was my imagination, but when I made the wrong initial move, the monkey took a very long time to actually move to my chosen node...",0,4,"[6, 6, 8, 11, 6, 7, 8, 3, 3, 7]","[4, 4, 2, -1, 4, -2, -3, 7, 2, 8]",25.0,2.5,"[4, -16, 17, -1, 19, 3, -8, 22, -13, 3]",0.1761,"[0.143, 0.143, 0.0, 0.167, 0.143, 0.105, 0.167, 0.5, 0.143, 0.25]","[0, 0, 2.0, 0, 0, 2.517, 4.0, 3.0, 3.986, 0]"
144,1,actionfeedback,2020-09-30 22:53:00.247924,2020-09-30 22:59:28.842992,2020-09-30 23:04:07.289867,10.8,0,College degree,No,31,Female,-,-,no,0,4,"[12, 4, 3, 3, 3, 3, 3, 5, 3, 4]","[-12, 1, 2, -8, 2, 2, 2, 15, 7, 11]",22.0,2.2,"[-12, -9, 2, 12, 7, 2, 7, 10, -8, 16]",0.247,"[0.462, 0.125, 0.307, 0.5, 0.333, 0.133, 0.267, 0.1, 0.1, 0.143]","[0, 4.0, 3.507, 2.996, 3.0, 4.5, 4.501, 5.0, 7.0, 3.0]"
145,1,actionfeedback,2020-09-30 22:50:30.507569,2020-09-30 23:00:29.196878,2020-09-30 23:05:20.283424,14.7,0,College degree,No,45,Female,-,-,no,2,4,"[0, 0, 3, 3, 2, 1, 3, 9, 12, 12]","[0, 0, 2, 2, 8, 4, 7, 1, -2, -22]",0.0,0.0,"[10, 0, 17, 17, 23, -1, -8, 1, -2, -22]",0.2514,"[0.0, 0.0, 0.4, 0.2, 0.4, 0.16, 0.167, 0.417, 0.385, 0.385]","[4.391, 6.005, 2.0, 2.0, 3.0, 5.242, 3.0, 3.0, 0, 0]"
146,1,actionfeedback,2020-09-30 22:56:03.722083,2020-09-30 23:02:44.970676,2020-09-30 23:07:51.256005,11.5,0,High school graduate,No,37,female,-,-,,7,4,"[1, 0, 1, 0, 0, 0, 0, 0, 1, 0]","[-1, 0, -1, 0, 0, 0, 0, 0, 9, 0]",7.0,0.7,"[4, 20, -11, -5, 25, -5, -10, -10, 4, -15]",0.056,"[0.167, 0.0, 0.143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0]","[5.003, 6.017, 6.0, 5.484, 5.184, 4.581, 5.489, 6.75, 3.0, 6.063]"
147,1,actionfeedback,2020-09-30 22:48:28.570321,2020-09-30 23:03:47.217513,2020-09-30 23:09:19.659195,20.4,0,College degree,No,27,Female,-,-,,1,4,"[6, 7, 9, 6, 5, 7, 0, 3, 4, 7]","[-1, 13, 16, 14, 5, -7, 0, 7, 6, -2]",51.0,5.1,"[-6, 3, 16, 9, 15, -2, 10, 2, -4, -7]",0.325,"[0.0, 0.5, 0.5, 0.25, 0.333, 0.5, 0.0, 0.167, 0.5, 0.5]","[2.76, 0, 0, 2.0, 4.0, 0, 3.838, 3.0, 2.0, 0]"
148,1,actionfeedback,2020-09-30 23:00:47.048326,2020-09-30 23:06:59.775945,2020-09-30 23:09:43.370086,8.6,0,College degree,No,26,Female,-,-,,0,4,"[1, 1, 2, 1, 3, 1, 2, 4, 3, 2]","[-1, -1, 3, 4, 2, 9, 8, -9, 2, 8]",25.0,2.5,"[-6, 19, 18, 14, 12, 14, 18, 1, -13, 13]",0.1899,"[0.157, 0.181, 0.182, 0.0, 0.0, 0.25, 0.333, 0.429, 0.167, 0.2]","[5.386, 4.513, 3.5, 3.0, 3.0, 3.0, 0, 3.0, 3.0, 3.0]"
149,1,actionfeedback,2020-09-30 23:06:12.007713,2020-09-30 23:10:13.950675,2020-09-30 23:14:49.177616,8.4,0,College degree,No,28,female,-,-,,0,4,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[9, -1, 4, -1, -1, 4, -1, 9, 9, 4]",35.0,3.5,"[14, -11, -1, -11, 14, 24, -16, -1, 4, 9]",0.1936,"[0.25, 0.18, 0.161, 0.159, 0.151, 0.2, 0.181, 0.25, 0.25, 0.154]","[3.0, 4.571, 5.226, 5.271, 5.603, 4.0, 4.522, 3.0, 3.0, 5.497]"
150,1,actionfeedback,2020-09-30 23:31:42.632493,2020-09-30 23:37:01.413783,2020-09-30 23:42:58.194681,10.7,0,College degree,No,31,Male,-,-,,0,4,"[6, 9, 10, 3, 5, 6, 3, 2, 5, 5]","[4, 6, 0, 2, 0, -6, 2, 18, 0, 0]",26.0,2.6,"[-16, 16, 0, -3, -15, -16, -3, 23, 5, 20]",0.0819,"[0.143, 0.091, 0.0, 0.0, 0.098, 0.195, 0.167, 0.0, 0.0, 0.125]","[0, 2.0, 2.0, 3.748, 5.208, 4.233, 3.0, 2.0, 2.933, 3.0]"
