pid,condition,conditionType,status,totalTime,attemptsQuiz1,gender,age,MLcheatTrials,RTscores,RTscoresMean,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
23,0,control,4,18.1,2,female,31,0,"[550, 575, 410, 225, 345, 330, 305, 400]",392.5,,[],0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
24,0,control,4,19.3,1,f,57,0,"[175, 215, 405, 320, 220, 355, 235, 180]",263.125,,[],0.8542,"[0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.7083,0.3333
25,0,control,4,18.1,4,woman,50,0,"[490, 340, 345, 180, 315, 330, 445, 295]",342.5,,[],0.5625,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
26,0,control,4,16.8,1,female,48,0,"[380, 485, 295, 225, 290, 200, 250, 435]",320.0,,[],0.2292,"[0.3333333333333333, 0.3333333333333333, 0.0, 0.5, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0]",0.2917,0.3333
27,0,control,4,29.3,8,Male,27,0,"[270, 335, 545, 380, 580, 290, 190, 290]",360.0,,[],0.125,"[0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0833,0.0
28,0,control,4,18.7,1,female,32,0,"[520, 215, 265, 350, 250, 345, 310, 285]",317.5,,[],0.7917,"[0.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
29,0,control,4,15.3,3,Male,32,0,"[450, 250, 255, 540, 440, 280, 475, 305]",374.375,,[],0.7188,"[0.0, 0.5, 1.0, 1.0, 1.0, 0.25, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.625,0.0
30,0,control,4,20.0,2,Female,36,0,"[495, 210, 325, 540, 325, 195, 160, 310]",320.0,,[],0.9375,"[1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,1.0
31,0,control,4,12.3,1,Male,22,0,"[395, 455, 500, 230, 285, 555, 310, 235]",370.625,,[],0.0833,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
32,0,control,4,24.4,1,female,47,0,"[490, 210, 240, 230, 140, 245, 195, 290]",255.0,,[],0.9167,"[0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.8333,0.3333
33,0,control,4,14.6,1,Female,43,0,"[245, 540, 225, 255, 500, 180, 325, 425]",336.875,,[],0.1458,"[0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.1667,0.6667
34,0,control,4,19.8,1,female,38,0,"[320, 265, 665, 240, 225, 300, 335, 340]",336.25,,[],0.6667,"[0.3333333333333333, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.3333,0.3333
35,0,control,4,23.0,2,female,26,0,"[375, 200, 210, 430, 220, 265, 220, 290]",276.25,,[],0.4583,"[0.0, 0.5, 0.0, 1.0, 0.3333333333333333, 0.5, 0.3333333333333333, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.375,0.0
36,0,control,4,22.6,2,male,53,0,"[520, 350, 415, 380, 425, 270, 375, 310]",380.625,,[],0.7188,"[0.0, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5625,0.0
37,0,control,4,14.0,1,Female,27,0,"[610, 170, 315, 190, 355, 275, 260, 335]",313.75,,[],0.7917,"[0.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5833,0.0
38,0,control,4,19.8,4,Female,29,0,"[385, 295, 295, 210, 570, 600, 550, 530]",429.375,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
