pid,condition,conditionType,status,totalTime,attemptsQuiz1,gender,age,MLcheatTrials,RTscores,RTscoresMean,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
98,1,Supported Training,4,16.4,1,female,38,9,"[440, 540, 215, 495, 430, 180, 265, 190]",344.375,0.0333,"[0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
99,1,Supported Training,4,11.2,1,"Male (cisgender, assigned male at birth).",25.,0,"[210, 220, 235, 410, 590, 245, 170, 400]",310.0,0.825,"[0.0, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
100,1,Supported Training,4,20.6,6,male,34,0,"[430, 245, 240, 220, 245, 180, 210, 400]",271.25,0.54,"[1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.4, 0.5, 1.0, 1.0]",0.8542,"[0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.7083,0.3333
101,1,Supported Training,4,12.9,1,Female,18,5,"[385, 230, 460, 500, 270, 470, 355, 445]",389.375,0.15,"[0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
102,1,Supported Training,4,22.1,4,male,41,0,"[220, 580, 205, 340, 460, 280, 495, 330]",363.75,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7917,"[0.3333333333333333, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.3333
103,1,Supported Training,4,24.0,1,Male,41,0,"[210, 425, 240, 445, 260, 380, 330, 420]",338.75,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7917,"[0.5, 0.5, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5833,0.5
104,1,Supported Training,4,12.0,2,Male,22,0,"[305, 320, 215, 180, 400, 250, 195, 385]",281.25,0.6717,"[0.3333333333333333, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666, 0.8, 0.6666666666666666, 1.0, 0.75, 0.5, 1.0]",0.0625,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.125,0.0
105,1,Supported Training,4,37.1,1,Female,49,0,"[435, 180, 305, 455, 170, 300, 375, 390]",326.25,0.85,"[1.0, 0.3333333333333333, 0.6666666666666666, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
106,1,Supported Training,4,16.6,2,Female,29,1,"[285, 285, 410, 270, 455, 495, 440, 180]",352.5,0.7,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
107,1,Supported Training,4,21.5,1,Male,46,0,"[295, 360, 390, 330, 325, 385, 485, 325]",361.875,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
108,1,Supported Training,4,43.9,10,Femal,33,10,"[530, 230, 490, 460, 470, 470, 355, 370]",421.875,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
109,1,Supported Training,4,17.2,2,Female,23,0,"[220, 565, 300, 170, 255, 210, 235, 415]",296.25,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7292,"[0.3333333333333333, 0.5, 0.5, 1.0, 1.0, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5833,0.3333
110,1,Supported Training,4,21.2,2,Male,32,0,"[270, 305, 255, 305, 340, 165, 180, 540]",295.0,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.7396,"[0.0, 0.25, 1.0, 0.6666666666666666, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.4792,0.0
111,1,Supported Training,4,25.8,1,male,30,0,"[195, 185, 310, 480, 495, 155, 360, 375]",319.375,0.9333,"[1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
112,1,Supported Training,4,18.6,5,F,34,0,"[235, 575, 205, 465, 225, 250, 400, 260]",326.875,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
113,1,Supported Training,4,21.3,1,-,-,0,"[375, 290, 445, 415, 495, 280, 385, 395]",385.0,0.25,"[0.0, 0.0, 0.0, 0.5, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5, 0.5, 0.3333333333333333]",0.6875,"[0.0, 0.0, 1.0, 1.0, 1.0, 0.5, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.5,0.0
114,1,Supported Training,4,13.2,2,Male,21,9,"[210, 200, 475, 155, 260, 345, 400, 470]",314.375,0.1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
115,1,Supported Training,4,21.0,4,Female,36,10,"[280, 330, 225, 235, 455, 210, 425, 200]",295.0,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
116,1,Supported Training,4,19.5,2,Female,28,1,"[285, 300, 460, 405, 530, 210, 225, 475]",361.25,0.8,"[0.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 0.6666666666666666]",0.8125,"[0.5, 0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.625,0.5
117,1,Supported Training,4,13.2,3,Male,57,10,"[360, 530, 230, 155, 385, 285, 315, 400]",332.5,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
118,1,Supported Training,4,23.2,1,Male,49,0,"[325, 250, 425, 290, 260, 265, 345, 325]",310.625,0.7167,"[0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
119,1,Supported Training,4,11.2,2,Male,30,0,"[210, 270, 310, 295, 240, 195, 250, 165]",241.875,0.8633,"[0.5, 0.8333333333333334, 0.5, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0]",0.7708,"[0.5, 1.0, 0.5, 0.6666666666666666, 0.5, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.6667,0.5
120,1,Supported Training,6,,0,-,-,0,[],,0.9583,"[0.8333333333333334, 1.0, 1.0, 1.0]",,[],[],,
121,1,Supported Training,6,,3,-,-,0,[],,1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,[],[],,
122,1,Supported Training,6,,0,-,-,0,[],,,[],,[],[],,
123,1,Supported Training,6,,1,-,-,10,[],,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
124,1,Supported Training,6,,4,-,-,9,[],,0.02,"[0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
125,1,Supported Training,6,,9,-,-,0,[],,0.3,"[0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]",,[],[],,
126,1,Supported Training,6,,1,-,-,10,[],,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
127,1,Supported Training,6,,0,-,-,0,[],,,[],,[],[],,
128,1,Supported Training,6,,0,-,-,0,[],,0.6389,"[1.0, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666]",,[],[],,
129,1,Supported Training,6,,4,-,-,0,[],,0.95,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5]",,[],[],,
130,1,Supported Training,6,,0,-,-,0,[],,1.0,"[1.0, 1.0]",,[],[],,
131,1,Supported Training,6,,0,-,-,1,[],,0.381,"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333]",,[],[],,
132,1,Supported Training,6,,3,-,-,10,[],,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
133,1,Supported Training,6,,0,-,-,0,[],,,[],,[],[],,
134,1,Supported Training,6,,3,-,-,10,[],,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
135,1,Supported Training,6,,0,-,-,10,[],,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
136,1,Supported Training,6,,2,-,-,10,[],,0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
137,1,Supported Training,6,,0,-,-,0,[],,,[],,[],[],,
