pid,trial,task,numberClicks,clicks,score,FSQ,CA,status,dropoutIndex,condition,conditionType,age,gender,naive,feedback,totalTime,firstBlock,exclusion,RT_attemptsQuiz,MG_attemptsQuiz
9,7,mortgage,3,"[1, 3, 8]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,29,male,False,,13.4,mortgage,True,1,1
10,0,mortgage,3,"[4, 6, 2]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,28,female,False,,12.2,mortgage,True,2,1
10,1,mortgage,3,"[0, 4, 8]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,28,female,False,,12.2,mortgage,True,2,1
10,2,mortgage,3,"[1, 4, 7]",0,0.0,0.0,3,5,0,control,28,female,False,,12.2,mortgage,True,2,1
10,3,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,28,female,False,,12.2,mortgage,True,2,1
10,4,mortgage,0,[],1,0.0,0.0,3,5,0,control,28,female,False,,12.2,mortgage,True,2,1
10,5,mortgage,3,"[4, 6, 8]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,28,female,False,,12.2,mortgage,True,2,1
10,6,mortgage,3,"[3, 4, 8]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,28,female,False,,12.2,mortgage,True,2,1
10,7,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,28,female,False,,12.2,mortgage,True,2,1
11,0,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,24,female,False,,9.6,mortgage,True,2,1
11,1,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,24,female,False,,9.6,mortgage,True,2,1
11,2,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,24,female,False,,9.6,mortgage,True,2,1
11,3,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,24,female,False,,9.6,mortgage,True,2,1
11,4,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,24,female,False,,9.6,mortgage,True,2,1
11,5,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,24,female,False,,9.6,mortgage,True,2,1
11,6,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,24,female,False,,9.6,mortgage,True,2,1
11,7,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,24,female,False,,9.6,mortgage,True,2,1
12,0,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,29,female,False,,11.5,mortgage,True,1,1
12,1,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,29,female,False,,11.5,mortgage,True,1,1
12,2,mortgage,3,"[2, 5, 4]",0,0.6666666666666666,0.6666666666666666,3,5,0,control,29,female,False,,11.5,mortgage,True,1,1
12,3,mortgage,3,"[8, 5, 7]",0,0.6666666666666666,0.6666666666666666,3,5,0,control,29,female,False,,11.5,mortgage,True,1,1
12,4,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,29,female,False,,11.5,mortgage,True,1,1
12,5,mortgage,3,"[5, 2, 4]",1,0.6666666666666666,0.6666666666666666,3,5,0,control,29,female,False,,11.5,mortgage,True,1,1
12,6,mortgage,3,"[8, 5, 7]",0,0.6666666666666666,0.6666666666666666,3,5,0,control,29,female,False,,11.5,mortgage,True,1,1
12,7,mortgage,3,"[5, 4, 2]",1,0.6666666666666666,0.6666666666666666,3,5,0,control,29,female,False,,11.5,mortgage,True,1,1
13,0,mortgage,3,"[0, 4, 8]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,19,female,False,,8.0,mortgage,True,2,1
13,1,mortgage,3,"[1, 4, 7]",0,0.0,0.0,3,5,0,control,19,female,False,,8.0,mortgage,True,2,1
13,2,mortgage,3,"[2, 5, 8]",0,1.0,1.0,3,5,0,control,19,female,False,,8.0,mortgage,True,2,1
13,3,mortgage,3,"[0, 3, 6]",0,0.0,0.0,3,5,0,control,19,female,False,,8.0,mortgage,True,2,1
13,4,mortgage,3,"[1, 4, 7]",0,0.0,0.0,3,5,0,control,19,female,False,,8.0,mortgage,True,2,1
13,5,mortgage,3,"[2, 4, 6]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,19,female,False,,8.0,mortgage,True,2,1
13,6,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,19,female,False,,8.0,mortgage,True,2,1
13,7,mortgage,3,"[1, 4, 7]",0,0.0,0.0,3,5,0,control,19,female,False,,8.0,mortgage,True,2,1
14,0,mortgage,3,"[1, 5, 8]",1,0.6666666666666666,0.6666666666666666,3,5,0,control,60,female,False,,18.3,mortgage,True,1,1
14,1,mortgage,3,"[1, 4, 8]",0,0.3333333333333333,0.3333333333333333,3,5,0,control,60,female,False,,18.3,mortgage,True,1,1
14,2,mortgage,3,"[7, 4, 2]",1,0.3333333333333333,0.3333333333333333,3,5,0,control,60,female,False,,18.3,mortgage,True,1,1
14,3,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,60,female,False,,18.3,mortgage,True,1,1
14,4,mortgage,3,"[1, 4, 7]",0,0.0,0.0,3,5,0,control,60,female,False,,18.3,mortgage,True,1,1
14,5,mortgage,3,"[2, 5, 8]",1,1.0,1.0,3,5,0,control,60,female,False,,18.3,mortgage,True,1,1
