pid,condition,conditionType,status,sanityFail,totalTime,gender,age,mortgagePrompt,pref0_3,pref0_6,pref6_9,pref6_12,idf0_3_hyp,idf0_6_hyp,idf6_9_hyp,idf6_12_hyp,PB3_hyp,PB6_hyp,idf0_3_exp,idf0_6_exp,idf6_9_exp,idf6_12_exp,PB3_exp,PB6_exp,numPB,MLcheatTrials,MLclicksNumber,trainingTrials
20,0,no-training,4,0,9.9,Female,29,"{'Q0': 'I would choose the one with the lowest interest rates', 'Q1': 'The one that is more in my budget'}","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.3333333333333333,0.5,0.14285714285714285,0.25,1,1,0.7937005259840998,0.7937005259840998,0.933127789204312,0.9246555971486619,1,1,22,0,0,[]
21,0,no-training,4,0,8.1,MALE,33,"{'Q0': 'INTERESTING LOAN', 'Q1': 'GOOD TO CHOOSE'}","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2.3333333333333335,1.1666666666666667,296.1851851854079,333.25000000018474,1,1,0.5,0.7071067811865476,0.5,0.7071067811865476,1,1,36,0,0,[]
22,0,no-training,4,0,10.1,male,34,"{'Q0': ""i'll choose the first month rate highest and 19 years lowest"", 'Q1': ""It's easy to pay the first month with the highest rate and make it easy for me to pay the rest""}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.1111111111111111,0.05555555555555555,0.3333333333333333,0.25,0,0,0.9085602964160698,0.9531842929969365,0.9085602964160698,0.9246555971486619,0,0,17,0,0,[]
23,0,no-training,4,0,9.9,Female,43,"{'Q0': 'I would choose the one with the best interest rate', 'Q1': 'I would choose the mortgage that fits within my budget.'}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.047619047619047616,0.038461538461538464,0.06666666666666667,0.25,0,0,0.9564655913861946,0.9659853980285168,0.9564655913861946,0.9246555971486619,0,0,12,0,0,[]
24,0,no-training,4,0,7.8,Female,24,"{'Q0': 'The one with the lowest interest rate.', 'Q1': 'The one with the lowest interest rate.'}","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[1, 1, 1, 1, 1, 1, 1, 1, 1]",0.0,0.0,0.0,0.0,0,0,1.0,1.0,1.0,1.0,0,0,0,0,0,[]
25,0,no-training,4,1,7.4,Female,30,"{'Q0': 'I would choose the lowest interest rate. ', 'Q1': 'I would decide which mortgage is best by assessing which one would be paid off in the least amount of time.'}","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.1111111111111111,0.2777777777777778,0.3333333333333333,0.027777777777777776,0,1,0.9085602964160698,0.8491906647824764,0.9085602964160698,0.9779905885979653,0,1,14,0,0,[]
26,0,no-training,4,0,14.0,male,32,"{'Q0': 'good nothing else', 'Q1': 'good nothing else'}","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2.3333333333333335,1.1666666666666667,296.1851851854079,333.25000000018474,1,1,0.5,0.7071067811865476,0.5,0.7071067811865476,1,1,36,0,0,[]
27,0,no-training,4,0,9.3,Male,25 years old,"{'Q0': 'I would choose interest rate for the 19 years since longer duration loans typically have lower interest rates. ', 'Q1': 'Longer duration loans typically have less interest rate on them. '}","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.07692307692307693,0.1,0.14285714285714285,0.25,0,0,0.933127789204312,0.9246555971486619,0.933127789204312,0.9246555971486619,0,0,16,0,0,[]
28,0,no-training,4,1,12.0,Male,59,"{'Q0': 'I would chose whichever loan would best suit my long term goals. For example: would it help build equity, can I pay it off early without penalty, etc.', 'Q1': 'With my long term financial goals in mind.'}","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.2,0.2777777777777778,0.3333333333333333,0.25,0,1,0.8549879733383485,0.8491906647824764,0.9085602964160698,0.9246555971486619,1,1,20,0,0,[]
29,0,no-training,4,0,10.9,female,61,"{'Q0': 'I would look at my present, future and way into the future.', 'Q1': 'I would choose the option which demonstrated a good interest rate for the long term. '}","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.07692307692307693,0.05555555555555555,0.3333333333333333,0.25,0,0,0.933127789204312,0.9531842929969365,0.9085602964160698,0.9246555971486619,0,0,16,0,0,[]
30,0,no-training,4,1,8.7,Female,29,"{'Q0': 'I would choose the mortgage loan that long-term, has me paying the least interest, as opposed to a loan that may have lower interest at the start.', 'Q1': 'I would figure out how much I want to mortgage, calculate the interest I pay in total across the mortgages, and then decide which one has me paying the least interest across the duration of the mortgage'}","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]",0.047619047619047616,0.2777777777777778,0.02564102564102564,0.027777777777777776,1,1,0.9564655913861946,0.8491906647824764,0.9787169102922159,0.9779905885979653,1,1,8,0,0,[]
31,0,no-training,4,0,14.6,Male,32,"{'Q0': 'I would compare the interest rates against my budget and goals for when I want to have it paid off.', 'Q1': 'The one with the overall lowest interest rate or the lowest rate for the duration of the last 19 years.'}","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0]",2.3333333333333335,0.023809523809523808,296.1851851854079,333.25000000018474,1,0,0.5,0.9779905885979653,0.5,0.7071067811865476,1,0,29,0,0,[]
32,0,no-training,4,0,11.1,Male,22,"{'Q0': 'I would choose the first year.', 'Q1': 'I believe that The first year would give me time to execute the loan.'}","[1, 1, 1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0]",0.3333333333333333,0.5,296.1851851854079,0.25,0,1,0.7937005259840998,0.7937005259840998,0.8549879733383485,0.9246555971486619,1,1,24,0,0,[]
