pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
43,0,flowchart,2020-09-28 22:13:35.558878,2020-09-28 22:20:19.424993,2020-09-28 22:28:46.45624,14.9,1,College degree,No,61,Female,"Yes, sometimes you had a lot more negative than positive to choose from.",Stick to clicking the botttom first the top levels are only -4 to 4 points in value.,That was an awesome experiment. I kept hoping the middle and top levels would have had larger values!,0,4,"[12, 12, 6, 12, 12, 12, 9, 6, 6, 12]","[34, 42, 42, 6, 6, -26, 29, 12, 48, -34]",159.0,15.9,"[34, 42, 42, 6, 6, -26, 29, 12, 48, -34]",0.3961,"[0.308, 0.308, 0.571, 0.308, 0.308, 0.308, 0.4, 0.571, 0.571, 0.308]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
44,0,flowchart,2020-09-28 22:31:27.519748,2020-09-28 22:39:56.003211,2020-09-28 22:44:07.906627,11.4,1,College degree,No,51,male,Yes,Click on all 3 of the bottom grey buttons then choose the highest,,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[21, 45, 21, 45, 45, 45, 45, 45, 21, 45]",378.0,37.8,"[9, 45, 33, 55, 37, 37, 39, 47, 15, 47]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
45,0,flowchart,2020-09-28 23:10:05.256945,2020-09-28 23:14:59.872361,2020-09-28 23:18:15.827009,8.1,2,High school graduate,No,37,Non-binary,Yes I believe I mostly understood it,Follow the flowchart and choose the best path with the given information,,0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[45, 21, 21, -51, 45, 21, 45, 45, -51, 45]",186.0,18.6,"[45, 17, 23, -63, 37, 33, 45, 39, -41, 35]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
46,0,flowchart,2020-09-28 23:13:44.984388,2020-09-28 23:16:58.179222,2020-09-28 23:19:59.937339,6.1,1,College degree,Yes,43,Male,Yes,"If the node is not clicked, then click it. Follow the best path with the highest amount but do not click any more.",,0,4,"[3, 1, 3, 3, 3, 3, 3, 3, 3, 3]","[45, -1, 45, 21, 21, 45, 45, 45, 21, 21]",308.0,30.8,"[35, 43, 39, 9, 29, 45, 39, 45, 23, 29]",0.925,"[1.0, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 3.0, 0, 0, 0, 0, 0, 0, 0, 0]"
47,0,flowchart,2020-09-28 23:11:45.882076,2020-09-28 23:17:37.223124,2020-09-28 23:20:46.472035,8.6,2,High school graduate,No,-,-,-,-,The page when i was typing in the boxes skipped to the next for some reason without me pressing anything.,0,4,"[5, 4, 12, 9, 5, 4, 6, 8, 4, 4]","[27, 28, -60, 19, 27, 28, 40, 10, 40, 40]",199.0,19.9,"[25, 24, -60, 17, 23, 28, 40, 10, 42, 38]",0.4124,"[0.125, 0.143, 0.308, 0.4, 0.667, 0.333, 0.571, 0.444, 0.8, 0.333]","[3.0, 3.0, 0, 0, 0, 2.0, 0, 0, 0, 2.0]"
48,0,flowchart,2020-09-28 23:13:59.695759,2020-09-28 23:18:52.858466,2020-09-28 23:22:52.262678,8.6,2,High school graduate,No,20,female,"no, I do not understand",I would say that i know it has to do with the nodes that are not clicked in some way,,1,4,"[12, 12, 12, 12, 12, 3, 12, 12, 12, 0]","[6, -40, 30, 24, -26, 21, -60, 46, 38, 0]",39.0,3.9,"[6, -48, 30, 24, -26, 15, -60, 46, 24, 48]",0.3464,"[0.308, 0.308, 0.308, 0.308, 0.308, 1.0, 0.308, 0.308, 0.308, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 4.0]"
49,0,flowchart,2020-09-28 23:15:59.337965,2020-09-28 23:21:55.882612,2020-09-28 23:25:50.366585,9.5,1,College degree,No,44,male,yes,click all nodes ,no,0,4,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12]","[12, 32, 34, 24, 38, 10, 20, 14, 8, 36]",228.0,22.8,"[12, 32, 34, 24, 38, 10, 20, 14, 8, 36]",0.308,"[0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308, 0.308]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
50,0,flowchart,2020-09-28 23:14:24.735006,2020-09-28 23:22:22.084757,2020-09-28 23:26:07.080493,7.9,2,College degree,No,47,female,yes,I gives you an idea of where to search for money nodes,,0,4,"[4, 3, 4, 3, 3, 5, 2, 2, 3, 5]","[36, 27, 48, 45, 49, 39, 46, 48, 21, 23]",382.0,38.2,"[32, 27, 44, 45, 47, 37, 48, 44, 13, 31]",0.3901,"[0.333, 0.167, 0.333, 0.167, 0.167, 0.667, 0.2, 0.2, 1.0, 0.667]","[2.0, 3.0, 2.0, 3.0, 3.0, 0, 3.0, 3.0, 0, 0]"
51,0,flowchart,2020-09-28 23:18:05.076257,2020-09-28 23:22:29.648204,2020-09-28 23:25:59.119253,7.7,1,College degree,No,25,female,yes,the flowchart tells you which node to click and which node not to click by first describing the node and going to yes or no depending on whether you click it,,0,4,"[3, 3, 6, 3, 3, 3, 3, 3, 3, 3]","[45, 45, 46, 45, 45, 45, 21, 45, 45, 45]",427.0,42.7,"[45, 45, 38, 45, 45, 45, 27, 39, 37, 47]",0.9571,"[1.0, 1.0, 0.571, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
52,0,flowchart,2020-09-28 23:05:54.548293,2020-09-28 23:14:37.982359,2020-09-28 23:21:55.79318,15.4,1,College degree,Yes,33,Female,Yes,"Click all of the root (lowest level) nodes to see their value, and then choose the path with the highest value revealed.","I don't understand why we had to click the same nodes every time. I thought the flowchart would change and have us click different ones. I'm not really sure what is being tested here, but it was easy, so ok. haha Good luck!",0,4,"[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]","[45, 45, -27, 45, 45, 21, 45, 45, 21, 45]",330.0,33.0,"[45, 45, -23, 39, 39, 15, 45, 45, 17, 45]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
