pid,condition,conditionType,status,bonus,timeTracking,totalTime,attemptsQuiz1,gender,age,qConfusing,qFollowStrategy,feedback,MLcheatTrials,MLclicksNumber,RTcheatTrials,RTclicksNumber,RTclicksNumberMean,RTscores,RTscoresMean,RTscoresExp,RTscoresExpMean,prompts,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
50,1,Supported Training,4,1.52,"[10.9, 22.6]",23.2,1,Male,49,"No, instructions were very clear. The network maps were quite challenging",-,Fascinating exercise! One of the most interesting HITs that I've done in a while. Thank you,0,"[12, 10, 10, 11, 4, 8, 4, 6, 3, 6]",0,,,"""[325, 250, 425, 290, 260, 265, 345, 325]""",310.625,,,[],0.7167,"[0.5, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 0.6666666666666666, 0.3333333333333333, 0.6666666666666666]",1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",1.0,1.0
51,1,Supported Training,4,2.06,"[5.9, 11.1]",11.2,2,Male,30,no,-,,0,"[2, 7, 2, 2, 1, 2, 5, 2, 5, 12]",0,,,"""[210, 270, 310, 295, 240, 195, 250, 165]""",241.875,,,[],0.8633,"[0.5, 0.8333333333333334, 0.5, 1.0, 1.0, 1.0, 0.8, 1.0, 1.0, 1.0]",0.7708,"[0.5, 1.0, 0.5, 0.6666666666666666, 0.5, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.6667,0.5
52,1,Supported Training,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,"[7, 3, 2, 12]",0,,,"""[]""",,,,[],0.9583,"[0.8333333333333334, 1.0, 1.0, 1.0]",,[],[],,
53,1,Supported Training,6,0.0,"[10.1, 0]",,3,-,-,-,-,-,0,"[6, 1, 1, 1, 1, 6, 3, 4, 6, 12]",0,,,"""[]""",,,,[],1.0,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",,[],[],,
54,1,Supported Training,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,,,"""[]""",,,,[],,[],,[],[],,
55,1,Supported Training,6,0.0,"[4.8, 0]",,1,-,-,-,-,-,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[]""",,,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
56,1,Supported Training,6,0.0,"[11.1, 0]",,4,-,-,-,-,-,9,"[5, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[]""",,,,[],0.02,"[0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
57,1,Supported Training,6,0.0,"[15.1, 0]",,9,-,-,-,-,-,0,"[12, 8, 12, 3, 10, 9, 6, 3, 8, 7]",0,,,"""[]""",,,,[],0.3,"[0.6666666666666666, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666]",,[],[],,
58,1,Supported Training,6,0.0,"[7.5, 0]",,1,-,-,-,-,-,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[]""",,,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
59,1,Supported Training,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,,,"""[]""",,,,[],,[],,[],[],,
60,1,Supported Training,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,"[2, 12, 12, 12, 3, 12]",0,,,"""[]""",,,,[],0.6389,"[1.0, 1.0, 1.0, 0.3333333333333333, 0.3333333333333333, 0.16666666666666666]",,[],[],,
61,1,Supported Training,6,0.0,"[19.8, 0]",,4,-,-,-,-,-,0,"[5, 1, 4, 2, 2, 4, 5, 4, 6, 12]",0,,,"""[]""",,,,[],0.95,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5]",,[],[],,
62,1,Supported Training,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,"[2, 5]",0,,,"""[]""",,,,[],1.0,"[1.0, 1.0]",,[],[],,
63,1,Supported Training,6,0.0,"[0, 0]",,0,-,-,-,-,-,1,"[0, 11, 12, 8, 8, 12, 12]",0,,,"""[]""",,,,[],0.381,"[0.0, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.6666666666666666, 0.6666666666666666, 0.3333333333333333]",,[],[],,
64,1,Supported Training,6,0.0,"[7.0, 0]",,3,-,-,-,-,-,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[]""",,,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
65,1,Supported Training,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,,,"""[]""",,,,[],,[],,[],[],,
66,1,Supported Training,6,0.0,"[8.6, 0]",,3,-,-,-,-,-,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[]""",,,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
67,1,Supported Training,6,0.0,"[6.5, 0]",,0,-,-,-,-,-,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[]""",,,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
68,1,Supported Training,6,0.0,"[13.4, 0]",,2,-,-,-,-,-,10,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,,,"""[]""",,,,[],0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",,[],[],,
69,1,Supported Training,6,0.0,"[0, 0]",,0,-,-,-,-,-,0,[],0,,,"""[]""",,,,[],,[],,[],[],,
