pid,condition,conditionType,status,bonus,timeTracking,totalTime,attemptsQuiz1,gender,age,qConfusing,qFollowStrategy,feedback,MLcheatTrials,MLclicksNumber,RTcheatTrials,RTclicksNumber,RTclicksNumberMean,RTscores,RTscoresMean,RTscoresExp,RTscoresExpMean,prompts,ML_pa_mean,ML_pa_complete,RT_pa_mean,RT_pa_complete,RT_et_complete,RT_pa_meanFH,RT_pa_meanFT
22,0,control,4,1.92,"[10.5, 24.6]",25.2,3,Female,29,No,-,This was a fun and entertaining HIT. Thank you!,0,[],0,"[4, 1, 4, 6, 3, 5, 5, 3]",3.875,"""[230, 230, 360, 235, 160, 240, 410, 220]""",260.625,"[230, 222.5, 345, 235, 205, 277.5, 455, 205]",271.875,[],,[],0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
23,0,control,4,0.98,"[8.0, 18.0]",18.1,2,female,31,no,-,"no, thank you!",0,[],0,"[6, 4, 6, 5, 7, 4, 4, 5]",5.125,"""[550, 575, 410, 225, 345, 330, 305, 400]""",392.5,"[550, 560, 395, 217.5, 345, 352.5, 297.5, 377.5]",386.875,[],,[],0.875,"[0.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
24,0,control,4,1.9,"[7.7, 19.2]",19.3,1,f,57,no,-,,0,[],0,"[3, 4, 3, 3, 3, 2, 3, 2]",2.875,"""[175, 215, 405, 320, 220, 355, 235, 180]""",263.125,"[325, 215, 480, 342.5, 205, 332.5, 242.5, 195]",292.1875,[],,[],0.8542,"[0.3333333333333333, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.7083,0.3333
25,0,control,4,1.26,"[9.8, 17.9]",18.1,4,woman,50,Yes. They could have been more conscise.,-,,0,[],0,"[3, 2, 1, 2, 1, 4, 1, 2]",2.0,"""[490, 340, 345, 180, 315, 330, 445, 295]""",342.5,"[362.5, 375, 410, 195, 410, 315, 372.5, 310]",343.75,[],,[],0.5625,"[0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 1.0, 0.5]","[0, 0, 0, 0, 0, 0, 0, 0]",0.25,0.0
26,0,control,4,1.44,"[6.9, 16.6]",16.8,1,female,48,"not at all, made perfect sense.",-,this was super fun thank you,0,[],0,"[3, 4, 3, 2, 3, 4, 3, 4]",3.25,"""[380, 485, 295, 225, 290, 200, 250, 435]""",320.0,"[395, 485, 280, 225, 297.5, 350, 377.5, 390]",350.0,[],,[],0.2292,"[0.3333333333333333, 0.3333333333333333, 0.0, 0.5, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0]",0.2917,0.3333
27,0,control,4,1.24,"[15.7, 28.7]",29.3,8,Male,27,Nothing was confusing,-,,0,[],0,"[5, 3, 4, 6, 7, 3, 3, 4]",4.375,"""[270, 335, 545, 380, 580, 290, 190, 290]""",360.0,"[270, 335, 545, 380, 580, 290, 190, 290]",360.0,[],,[],0.125,"[0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0833,0.0
28,0,control,4,1.48,"[7.4, 18.5]",18.7,1,female,32,No,-,This was fun! I really enjoyed it. ,0,[],0,"[6, 4, 3, 3, 3, 4, 5, 4]",4.0,"""[520, 215, 265, 350, 250, 345, 310, 285]""",317.5,"[550, 207.5, 257.5, 342.5, 220, 322.5, 317.5, 292.5]",313.75,[],,[],0.7917,"[0.0, 1.0, 1.0, 1.0, 0.3333333333333333, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.75,0.0
29,0,control,4,1.04,"[8.7, 15.2]",15.3,3,Male,32,No,-,,0,[],0,"[6, 3, 2, 5, 6, 6, 5, 3]",4.5,"""[450, 250, 255, 540, 440, 280, 475, 305]""",374.375,"[457.5, 250, 232.5, 532.5, 432.5, 302.5, 422.5, 305]",366.875,[],,[],0.7188,"[0.0, 0.5, 1.0, 1.0, 1.0, 0.25, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.625,0.0
30,0,control,4,1.48,"[12.7, 19.8]",20.0,2,Female,36,"At first I didn't understand that every stop meant a hotel night, but after reading the instructions a second time I understood. ",-,Fun HIT!,0,[],0,"[2, 2, 2, 2, 2, 2, 3, 2]",2.125,"""[495, 210, 325, 540, 325, 195, 160, 310]""",320.0,"[570, 195, 332.5, 405, 370, 195, 205, 332.5]",325.625,[],,[],0.9375,"[1.0, 1.0, 1.0, 0.5, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.875,1.0
31,0,control,4,1.09,"[6.9, 12.0]",12.3,1,Male,22,No,-,,0,[],0,"[2, 1, 1, 1, 1, 2, 3, 3]",1.75,"""[395, 455, 500, 230, 285, 555, 310, 235]""",370.625,"[367.5, 327.5, 350, 380, 327.5, 420, 295, 235]",337.8125,[],,[],0.0833,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333]","[0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0
32,0,control,4,1.96,"[8.0, 24.0]",24.4,1,female,47,A little at first.,-,,0,[],0,"[7, 2, 2, 1, 1, 1, 2, 3]",2.375,"""[490, 210, 240, 230, 140, 245, 195, 290]""",255.0,"[512.5, 195, 232.5, 260, 185, 222.5, 232.5, 305]",268.125,[],,[],0.9167,"[0.3333333333333333, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.8333,0.3333
33,0,control,4,1.34,"[6.1, 14.5]",14.6,1,Female,43,No,-,,0,[],0,"[4, 2, 2, 2, 2, 2, 2, 2]",2.25,"""[245, 540, 225, 255, 500, 180, 325, 425]""",336.875,"[267.5, 412.5, 375, 360, 397.5, 345, 390, 382.5]",366.25,[],,[],0.1458,"[0.6666666666666666, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0]","[0, 0, 0, 0, 0, 0, 0, 0]",0.1667,0.6667
