pid,condition,condition_type,beginHit,beginExp,endHit,totalTime,attempts,genEdu,comEdu,age,gender,qUnd,qDes,feedback,cheatTrials,status,numberClicks,rews_exp,rews_exp_total,rews_exp_mean,scores,pa_mean,pa_complete,pa_et
101,1,control,2020-02-23 18:49:22.40732,2020-02-23 18:51:15.183948,2020-02-23 18:53:28.704156,246,1,College degree,No,33,male,-,-,,10,4,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0,0.0,"[-30, 20, -50, -16, -36, 12, 24, -34, -48, 12]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[3.335, 13.0, 3.308, 3.35, 13.0, 4.537, 4.536, 3.325, 4.395, 3.34]"
102,1,control,2020-02-23 18:41:39.403249,2020-02-23 18:44:57.109912,2020-02-23 18:47:50.336665,370,1,High school graduate,No,49,Female,-,-,,0,4,"[4, 4, 5, 9, 5, 6, 8, 2, 1, 2]","[24, 18, 45, 17, 47, 46, 42, 46, 47, 46]",378.0,37.8,"[16, 26, 53, 21, 51, 42, 42, 54, 59, 40]",0.5772,"[0.077, 0.124, 0.5, 0.462, 0.5, 0.571, 0.538, 1.0, 1.0, 1.0]","[9.0, 4.076, 0, 4.0, 0, 0, 5.0, 0, 0, 0]"
103,1,control,2020-02-23 18:42:23.839584,2020-02-23 18:45:23.968801,2020-02-23 18:48:36.086711,372,1,College degree,No,26,non-binary,-,-,This was really fun!,0,4,"[3, 1, 1, 1, 9, 6, 8, 2, 3, 6]","[45, 47, 47, 47, 19, 42, 20, 46, 45, 18]",376.0,37.6,"[41, 45, 55, 47, 21, 48, 18, 54, 47, 16]",0.8154,"[1.0, 1.0, 1.0, 1.0, 0.692, 0.385, 0.615, 1.0, 1.0, 0.462]","[0, 0, 0, 0, 4.0, 7.0, 5.0, 0, 0, 7.0]"
104,1,control,2020-02-23 18:42:31.52853,2020-02-23 18:45:53.290382,2020-02-23 18:49:20.588089,409,1,High school graduate,No,59,female,-,-,,0,4,"[3, 5, 1, 1, 4, 2, 4, 6, 6, 6]","[45, 43, 47, 47, 44, 46, 44, 42, 18, 42]",418.0,41.8,"[53, 39, 39, 53, 40, 34, 42, 42, 18, 44]",0.9462,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.462, 1.0]","[0, 0, 0, 0, 0, 0, 0, 0, 7.0, 0]"
105,1,control,2020-02-23 18:43:40.672343,2020-02-23 18:47:45.361046,2020-02-23 18:50:16.253613,395,1,College degree,No,30,male,-,-,,0,4,"[5, 5, 6, 7, 10, 5, 10, 3, 1, 5]","[17, 51, 30, 39, 14, 21, 36, 49, 47, 43]",347.0,34.7,"[17, 51, 30, 39, -30, 17, 28, 45, 35, 39]",0.3736,"[0.112, 0.333, 0.211, 0.375, 0.462, 0.077, 0.636, 0.154, 1.0, 0.376]","[3.953, 0, 3.491, 0, 3.0, 8.0, 0, 10.0, 0, 2.978]"
106,1,control,2020-02-23 18:47:02.104964,2020-02-23 18:48:31.875986,2020-02-23 18:51:19.12526,257,1,No schooling completed,No,35,FEMALE,-,-,,0,4,"[7, 3, 2, 3, 6, 4, 6, 8, 6, 5]","[33, 53, 50, 49, 38, 52, 18, 20, 38, 51]",402.0,40.2,"[31, 57, 46, 53, 40, 50, 24, 18, 36, 49]",0.3156,"[0.462, 0.154, 0.077, 0.154, 0.385, 0.231, 0.462, 0.615, 0.308, 0.308]","[6.0, 10.0, 11.0, 10.0, 7.0, 9.0, 7.0, 5.0, 7.0, 8.0]"
107,1,control,2020-02-23 18:47:04.66222,2020-02-23 18:50:34.59723,2020-02-23 18:54:32.880134,448,1,College degree,No,44,female,-,-,"That was fun. I'm glad the monkey looked like a monkey and not some random thing :)
Thank you!",0,4,"[3, 4, 3, 2, 7, 3, 5, 6, 6, 8]","[45, 16, 45, 2, 17, 49, 39, 46, 50, 44]",353.0,35.3,"[51, 30, 55, -54, 7, 53, 43, 44, 46, 42]",0.4097,"[0.5, 0.267, 0.5, 0.201, 0.556, 0.75, 0.399, 0.231, 0.231, 0.462]","[0, 3.492, 0, 2.968, 2.0, 0, 2.511, 7.0, 7.0, 5.0]"
108,1,control,2020-02-23 18:48:50.109515,2020-02-23 18:52:31.530104,2020-02-23 18:55:14.896545,384,1,High school graduate,No,39,female,-,-,,0,4,"[2, 7, 5, 5, 5, 5, 5, 10, 12, 5]","[-2, 45, 45, 47, 23, 21, 47, 28, 12, 47]",313.0,31.3,"[46, 37, 41, 43, 31, -65, 55, 28, 12, 39]",0.2585,"[0.0, 0.316, 0.117, 0.077, 0.261, 0.237, 0.077, 0.462, 0.538, 0.5]","[3.375, 2.508, 3.541, 8.0, 2.665, 3.44, 8.0, 3.0, 0, 0]"
109,1,control,2020-02-23 18:50:04.593579,2020-02-23 18:53:39.547992,2020-02-23 18:56:18.10484,373,1,College degree,Yes,60,Male,-,-,,9,4,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[-1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1.0,-0.1,"[-35, 20, -54, 50, 12, -26, 36, 50, 36, -30]",0.0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[4.512, 13.0, 3.307, 3.368, 13.0, 3.288, 4.611, 3.257, 3.337, 3.286]"
110,1,control,2020-02-23 18:52:33.019037,2020-02-23 18:54:34.159826,2020-02-23 18:56:55.942918,262,1,College degree,No,22,Male,-,-,,0,4,"[3, 2, 2, 6, 1, 1, 3, 5, 2, 3]","[21, 26, 22, 18, 47, 23, 43, 43, 22, 41]",306.0,30.6,"[19, 34, 26, 18, 55, 13, 35, 55, 22, 45]",0.4083,"[0.143, 0.167, 0.364, 0.385, 1.0, 0.199, 0.307, 1.0, 0.364, 0.154]","[3.993, 3.991, 3.495, 7.0, 0, 4.037, 3.524, 0, 3.493, 10.0]"
